predator_name,predator_tsn,prey_name,prey_tsn,prey_records,total_min_num,total_cpw
WHG,164758.0,Empty,-99901.0,9570,12909.0,0.0
COD,164712.0,EH-Euphausids,95573.0,4379,13852.0,1443.4462471570957
COD,164712.0,EH-Empty,-99901.0,4090,4091.0,0.0
WHG,164758.0,Pseudocalanus elongatus-Adult (Female),85370.0,3908,3908.0,0.2110319999999946
HAD,164744.0,SAN,171671.0,3582,4759.0,9464.065245306912
WHG,164758.0,Unidentified copepod-Copepodite 1-3,85257.0,3196,3196.0,0.20774000000000897
COD,164712.0,Pseudocalanus elongatus-Adult (Female),85370.0,3168,3168.0,0.17107199999999573
COD,164712.0,EH-Fish remains,161105.0,2650,2821.0,230355.20843652295
GUG,167044.0,Empty,-99901.0,2312,3046.0,0.0
PLE,172902.0,Empty,-99901.0,2234,9040.0,0.0
DAB,172881.0,Empty,-99901.0,2130,5994.0,0.0
COD,164712.0,Fish remains,161105.0,1982,2790.0,122335.54474111296
COD,164712.0,SAN,171671.0,1947,3100.0,13678.159747840413
WHG,164758.0,Unidentified copepod-Copepodite 4-5,85257.0,1899,1899.0,0.12343499999999699
COD,164712.0,Empty,-99901.0,1891,7340.0,0.0
WHG,164758.0,SAN,171671.0,1859,2632.0,3666.1502690135094
WHG,164758.0,Temora sp.-Adult (Female),85874.0,1795,1795.0,0.11308499999999534
MEG,172835.0,Empty,-99901.0,1774,1776.0,0.0
WHG,164758.0,Temora sp.-Adult (Male),85874.0,1672,1672.0,0.10533599999999613
WHG,164758.0,Fish remains,161105.0,1414,2382.0,15033.697468751558
WEL,630409.0,Empty,-99901.0,1315,1386.0,0.0
COD,164712.0,EH Empty,-99901.0,1307,1307.0,0.0
WHG,164758.0,Copepod,85258.0,1300,13459.0,21.48056399999967
HER,161722.0,Empty,-99901.0,1285,23806.0,0.0
MAC,172414.0,Empty,-99901.0,1272,1593.0,0.0
COD,164712.0,Unidentified copepod-Copepodite 1-3,85257.0,1172,1172.0,0.07618000000000018
COD,164712.0,EH-Capelin,162035.0,1160,5955.0,218637.64879001502
MAC,172414.0,Calanoid copepod,85263.0,1156,235271.0,375.4925160000037
DAB,172881.0,Ophiuroid,157382.0,1124,1469.0,809.2865618570937
HAD,164744.0,Empty,-99901.0,1124,3082.0,0.0
WHG,164758.0,Calanoid copepod-Adult (Unsexed),85263.0,1018,1018.0,1.6247279999999829
PLE,172902.0,Polychaete,64358.0,996,5500.0,3129.135928912797
COD,164712.0,EH Euphausids,95573.0,981,1007.0,104.93433229044263
HAD,164744.0,EH-Ophiuroid,157382.0,971,999.0,550.3589347150356
COD,164712.0,CSH,97118.0,910,1475.0,1054.475149335231
WHG,164758.0,Sandeel,171671.0,907,1394.0,1808.7407516717353
COD,164712.0,EH-Pandalus,96967.0,895,1349.0,1747.2210977736218
DAB,172881.0,Digested remains,-99904.0,885,1737.0,1222.0724889332546
COD,164712.0,EH-Amphipod,93294.0,882,1355.0,97.56000000000093
PLE,172902.0,Pectinaria,67713.0,852,5255.0,225.97049139332694
MAC,172414.0,Copepod,85258.0,820,1136.0,1.8130559999999685
DAB,172881.0,Bivalve shell,79118.0,789,869.0,652.0426721703336
COD,164712.0,Nephrops,97317.0,773,1541.0,14778.751639024083
COD,164712.0,Eupagurus bernhardus,97805.0,771,1763.0,6242.146188389441
COD,164712.0,Calanoid copepod-Adult (Unsexed),85263.0,760,760.0,1.2129600000000007
COD,164712.0,Liocarcinus depurator,98739.0,744,1410.0,4194.503249999957
GUG,167044.0,ui fish,161105.0,742,770.0,3962.310979679592
MAC,172414.0,Unknown,-99904.0,729,729.0,512.8905265390606
MAC,172414.0,Euphausiid,95500.0,716,12674.0,1320.6928773079371
SPR,161789.0,Empty,-99901.0,678,1763.0,0.0
